clause,description,applicability,critical_question,option_a,option_b,option_c,option_d,learning_objective,discussion_object,gaps_a,gaps_b,gaps_c,gaps_d
7.5,Documented information,All organizations,How should documented information be controlled?,The FSMS shall include documented information required by the standard and determined as necessary,Documents are controlled only for critical processes,Documents are updated only during audit preparation,The organization has minimal document controls,Understand document control requirements,Discuss effective document management,Comprehensive document control system,Limited scope of document control,Audit-driven document management,Minimal document control
8.1,Operational planning and control,All organizations,What is required for operational planning?,The organization shall plan, implement and control processes needed to meet requirements,Planning is done only for production processes,Planning focuses exclusively on food safety hazards,Planning is done only during audit preparation,Understand operational planning requirements,Discuss effective planning methods,Comprehensive process planning,Production-focused planning only,Hazard-focused planning only,Audit-driven planning
8.2,Prerequisite programmes (PRPs),All organizations,How should prerequisite programs be established?,The organization shall establish, implement, maintain and update PRPs,PRPs are established only for production areas,PRPs are updated only during audit preparation,The organization has minimal prerequisite programs,Understand PRP requirements,Discuss effective prerequisite programs,Comprehensive PRP system,Limited scope of PRPs,Audit-driven PRP management,Minimal PRP implementation
8.3,Traceability system,All organizations,What is required for traceability?,The traceability system shall identify product lots and their relation to raw materials and records,Traceability is limited to finished products only,Traceability is tested only during audits,The organization has minimal traceability capabilities,Understand traceability requirements,Discuss effective traceability systems,Comprehensive traceability system,Limited scope of traceability,Audit-driven traceability testing,Minimal traceability implementation
8.4,Emergency preparedness and response,All organizations,How should emergency situations be managed?,The organization shall establish, implement and maintain procedures for potential emergency situations,Emergency procedures exist only for major hazards,Emergency procedures are tested only during audits,The organization has minimal emergency procedures,Understand emergency preparedness requirements,Discuss effective emergency management,Comprehensive emergency management system,Limited scope of emergency procedures,Audit-driven emergency testing,Minimal emergency preparedness
8.5,Hazard control,All organizations,How should hazards be controlled?,The organization shall implement control measures through the HACCP plan and operational PRPs,Hazard control focuses only on CCPs,Hazard control is verified only during audits,The organization has minimal hazard controls,Understand hazard control requirements,Discuss effective control measures,Comprehensive hazard control system,CCP-focused control only,Audit-driven hazard verification,Minimal hazard control implementation
8.5.2,Hazard identification and determination of acceptable levels,All organizations,How should hazards be identified?,The organization shall identify and document all food safety hazards reasonably expected to occur,Hazard identification focuses only on biological hazards,Hazard identification is performed only during HACCP studies,The organization has minimal hazard identification process,Understand hazard identification requirements,Discuss effective hazard identification methods,Comprehensive hazard identification,Limited focus on biological hazards only,HACCP-driven hazard identification,Minimal hazard identification
8.5.3,Hazard assessment,All organizations,How should hazards be assessed?,The organization shall conduct a hazard assessment to determine if control is necessary,Hazard assessment focuses only on severity,Hazard assessment is performed only during HACCP studies,The organization has minimal hazard assessment process,Understand hazard assessment requirements,Discuss effective hazard assessment methods,Comprehensive hazard assessment,Limited focus on severity only,HACCP-driven hazard assessment,Minimal hazard assessment
8.5.4,Hazard control plan (HACCP/OPRP plan),All organizations,How should the hazard control plan be established?,The organization shall establish a documented plan specifying control measures,The plan addresses only CCPs,The plan is updated only during HACCP studies,The organization has minimal hazard control plan,Understand hazard control plan requirements,Discuss effective hazard control planning,Comprehensive hazard control plan,CCP-focused plan only,HACCP-driven plan updates,Minimal hazard control plan
8.6,Updating the information specifying the PRPs and the hazard control plan,All organizations,How should system information be updated?,The organization shall update preliminary information and documents specifying PRPs and hazard control plan,Information is updated only when processes change significantly,Information is updated only during audit preparation,The organization rarely updates system information,Understand system update requirements,Discuss effective information management,Regular systematic updates,Limited updates for major changes only,Audit-driven updates,Minimal system information updates
8.7,Control of monitoring and measuring,All organizations,How should monitoring and measuring equipment be controlled?,The organization shall provide evidence that monitoring and measuring equipment is fit for purpose,Equipment is calibrated only for critical measurements,Equipment is calibrated only during audit preparation,The organization has minimal calibration controls,Understand equipment control requirements,Discuss effective calibration management,Comprehensive calibration system,Limited scope of calibration,Audit-driven calibration,Minimal calibration controls
8.8,Verification related to PRPs and the hazard control plan,All organizations,How should verification activities be conducted?,The organization shall establish, implement and maintain verification activities,Verification is performed only for CCPs,Verification is performed only during audits,The organization has minimal verification activities,Understand verification requirements,Discuss effective verification methods,Comprehensive verification system,CCP-focused verification only,Audit-driven verification,Minimal verification activities
8.9,Control of product and process nonconformities,All organizations,How should nonconformities be managed?,The organization shall ensure potentially unsafe products are evaluated before release,Nonconforming products are simply discarded without evaluation,Nonconformities are addressed only during audits,The organization has minimal nonconformity controls,Understand nonconformity management requirements,Discuss effective nonconformity handling,Comprehensive nonconformity management,Disposal without proper evaluation,Audit-driven nonconformity handling,Minimal nonconformity controls
9.1,Monitoring measurement analysis and evaluation,All organizations,What should be monitored and measured?,The organization shall determine what needs to be monitored and measured, when, and how,Monitoring focuses only on finished products,Monitoring is increased only during audit preparation,The organization has minimal monitoring activities,Understand monitoring requirements,Discuss effective monitoring strategies,Comprehensive monitoring system,Product-focused monitoring only,Audit-driven monitoring,Minimal monitoring activities
9.2,Internal audit,All organizations,How should internal audits be conducted?,The organization shall conduct internal audits at planned intervals with defined criteria and scope,Audits are conducted only for problematic areas,Audits are conducted only before external audits,The organization does not conduct regular internal audits,Understand internal audit requirements,Discuss effective audit programs,Comprehensive audit program,Limited scope of internal audits,External audit-driven internal audits,Minimal internal audit program
9.3,Management review,All organizations,How should management review the FSMS?,Management shall review the FSMS at planned intervals considering specific inputs and outputs,Reviews are conducted only when problems arise,Reviews focus only on nonconformities,The organization does not conduct regular management reviews,Understand management review requirements,Discuss effective review processes,Comprehensive management review process,Reactive approach to reviews,Limited scope of reviews,Minimal management review process
10.1,Nonconformity and corrective action,All organizations,How should corrective actions be managed?,The organization shall identify nonconformities, determine causes, and implement actions to prevent recurrence,Only immediate corrections are implemented,Corrective actions are implemented only after external audits,The organization has minimal corrective action process,Understand corrective action requirements,Discuss effective problem-solving methods,Comprehensive corrective action system,Correction without addressing root causes,External audit-driven corrective actions,Minimal corrective action process
10.2,Continual improvement,All organizations,How should continual improvement be approached?,The organization shall continually improve the suitability, adequacy and effectiveness of the FSMS,Improvement focuses only on product quality,Improvements are implemented only after external audits,The organization has minimal improvement activities,Understand improvement requirements,Discuss effective improvement strategies,Comprehensive improvement system,Product-focused improvement only,External audit-driven improvements,Minimal improvement activities
10.3,Update of the food safety management system,All organizations,How should the FSMS be updated?,The organization shall ensure the FSMS is continually updated,Updates occur only when processes change significantly,Updates occur only after external audits,The organization rarely updates the FSMS,Understand system update requirements,Discuss effective update strategies,Regular systematic updates,Limited updates for major changes only,External audit-driven updates,Minimal system updates
