clause,description,applicability,critical_question,option_a,option_b,option_c,option_d,learning_objective,discussion_object,gaps_a,gaps_b,gaps_c,gaps_d
8.2,PRPs (Prerequisite Programs),All organizations,How should prerequisite programs be established?,The organization shall establish, implement, maintain and update PRPs,PRPs are established only for production areas,PRPs are updated only during audit preparation,The organization has minimal prerequisite programs,Understand PRP requirements,Discuss effective prerequisite programs,Comprehensive PRP system,Limited scope of PRPs,Audit-driven PRP management,Minimal PRP implementation
8.3,Traceability System,All organizations,What is required for traceability?,The organization shall establish a system to identify product lots and their relation to raw materials and records,Traceability is limited to finished products only,Traceability is tested only during audits,The organization has minimal traceability capabilities,Understand traceability requirements,Discuss effective traceability systems,Comprehensive traceability system,Limited scope of traceability,Audit-driven traceability testing,Minimal traceability implementation
8.4,Emergency Preparedness,All organizations,How should emergency situations be managed?,The organization shall establish, implement and maintain procedures for potential emergency situations,Emergency procedures exist only for major hazards,Emergency procedures are tested only during audits,The organization has minimal emergency procedures,Understand emergency preparedness requirements,Discuss effective emergency management,Comprehensive emergency management system,Limited scope of emergency procedures,Audit-driven emergency testing,Minimal emergency preparedness
8.5,Hazard Control,All organizations,How should hazards be controlled?,The organization shall implement control measures through the HACCP plan and operational PRPs,Hazard control focuses only on CCPs,Hazard control is verified only during audits,The organization has minimal hazard controls,Understand hazard control requirements,Discuss effective control measures,Comprehensive hazard control system,CCP-focused control only,Audit-driven hazard verification,Minimal hazard control implementation
8.6,Updating System Information,All organizations,How should system information be updated?,The organization shall update preliminary information and documents specifying PRPs and HACCP plan,Information is updated only when processes change significantly,Information is updated only during audit preparation,The organization rarely updates system information,Understand system update requirements,Discuss effective information management,Regular systematic updates,Limited updates for major changes only,Audit-driven updates,Minimal system information updates
8.7,Verification of Control Measures,All organizations,How should control measures be verified?,The organization shall establish and implement verification activities for control measures,Verification is performed only for CCPs,Verification is performed only during audits,The organization has minimal verification activities,Understand verification requirements,Discuss effective verification methods,Comprehensive verification system,CCP-focused verification only,Audit-driven verification,Minimal verification activities
8.8,Product and Process Nonconformities,All organizations,How should nonconformities be managed?,The organization shall ensure potentially unsafe products are evaluated before release,Nonconforming products are simply discarded without evaluation,Nonconformities are addressed only during audits,The organization has minimal nonconformity controls,Understand nonconformity management requirements,Discuss effective nonconformity handling,Comprehensive nonconformity management,Disposal without proper evaluation,Audit-driven nonconformity handling,Minimal nonconformity controls
9.1,Monitoring and Measurement,All organizations,What should be monitored and measured?,The organization shall determine what needs to be monitored and measured, when, and how,Monitoring focuses only on finished products,Monitoring is increased only during audit preparation,The organization has minimal monitoring activities,Understand monitoring requirements,Discuss effective monitoring strategies,Comprehensive monitoring system,Product-focused monitoring only,Audit-driven monitoring,Minimal monitoring activities
9.2,Internal Audit,All organizations,How should internal audits be conducted?,The organization shall conduct internal audits at planned intervals with defined criteria and scope,Audits are conducted only for problematic areas,Audits are conducted only before external audits,The organization does not conduct regular internal audits,Understand internal audit requirements,Discuss effective audit programs,Comprehensive audit program,Limited scope of internal audits,External audit-driven internal audits,Minimal internal audit program
9.3,Management Review,All organizations,How should management review the FSMS?,Management shall review the FSMS at planned intervals considering specific inputs and outputs,Reviews are conducted only when problems arise,Reviews focus only on nonconformities,The organization does not conduct regular management reviews,Understand management review requirements,Discuss effective review processes,Comprehensive management review process,Reactive approach to reviews,Limited scope of reviews,Minimal management review process
10.1,Nonconformity and Corrective Action,All organizations,How should corrective actions be managed?,The organization shall identify nonconformities, determine causes, and implement actions to prevent recurrence,Only immediate corrections are implemented,Corrective actions are implemented only after external audits,The organization has minimal corrective action process,Understand corrective action requirements,Discuss effective problem-solving methods,Comprehensive corrective action system,Correction without addressing root causes,External audit-driven corrective actions,Minimal corrective action process
10.2,Continual Improvement,All organizations,How should continual improvement be approached?,The organization shall continually improve the suitability, adequacy and effectiveness of the FSMS,Improvement focuses only on product quality,Improvements are implemented only after external audits,The organization has minimal improvement activities,Understand improvement requirements,Discuss effective improvement strategies,Comprehensive improvement system,Product-focused improvement only,External audit-driven improvements,Minimal improvement activities
10.3,Updating the FSMS,All organizations,How should the FSMS be updated?,Top management shall ensure the FSMS is continually updated,Updates occur only when processes change significantly,Updates occur only after external audits,The organization rarely updates the FSMS,Understand system update requirements,Discuss effective update strategies,Regular systematic updates,Limited updates for major changes only,External audit-driven updates,Minimal system updates
FSSC Additional 1,Food Defense,All organizations,How should food defense be managed?,The organization shall implement a documented food defense plan,Food defense measures focus only on physical security,Food defense is addressed only during audits,The organization has minimal food defense measures,Understand food defense requirements,Discuss effective food defense strategies,Comprehensive food defense system,Limited scope of food defense,Audit-driven food defense,Minimal food defense implementation
FSSC Additional 2,Food Fraud Prevention,All organizations,How should food fraud be prevented?,The organization shall implement a documented food fraud prevention plan,Food fraud measures focus only on raw materials,Food fraud is addressed only during audits,The organization has minimal food fraud measures,Understand food fraud requirements,Discuss effective fraud prevention strategies,Comprehensive fraud prevention system,Limited scope of fraud prevention,Audit-driven fraud prevention,Minimal fraud prevention implementation
FSSC Additional 3,Allergen Management,All organizations,How should allergens be managed?,The organization shall implement a documented allergen management program,Allergen controls focus only on labeling,Allergen management is addressed only during audits,The organization has minimal allergen controls,Understand allergen management requirements,Discuss effective allergen control strategies,Comprehensive allergen management system,Limited scope of allergen management,Audit-driven allergen management,Minimal allergen controls
FSSC Additional 4,Environmental Monitoring,Food manufacturing,How should environmental monitoring be conducted?,The organization shall implement a risk-based environmental monitoring program,Monitoring focuses only on finished product areas,Monitoring is increased only during audit preparation,The organization has minimal environmental monitoring,Understand environmental monitoring requirements,Discuss effective monitoring strategies,Comprehensive monitoring program,Limited scope of monitoring,Audit-driven monitoring,Minimal monitoring program
FSSC Additional 5,Transport and Delivery,All organizations,How should transport and delivery be managed?,The organization shall implement measures to prevent contamination during transport,Transport controls focus only on temperature,Transport is addressed only during audits,The organization has minimal transport controls,Understand transport requirements,Discuss effective transport management,Comprehensive transport management system,Limited scope of transport controls,Audit-driven transport management,Minimal transport controls
